"Clock","Addr","Dir","Seq","Bytes","TxDir","TimeDiffTicks"
"134287964848547181","0x10","WRITE","8","0x0E5A001B171BF46E","ToDevice","38"
"134287964848550701","0x10","WRITE","4","0x0EC00101","ToDevice","38"
"134287964848553324","0x10","WRITE","6","0x0EE401010004","ToDevice","37"
"134287964848556589","0x10","WRITE","4","0x11B00815","ToDevice","37"
"134287964848559399","0x10","WRITE","4","0x11C20815","ToDevice","40"
"134287964848561937","0x10","WRITE","4","0x133A0101","ToDevice","36"
"134287964848564539","0x10","WRITE","4","0x134201EA","ToDevice","37"
"134287964848567521","0x10","WRITE","4","0x1348041A","ToDevice","36"
"134287964848570275","0x10","WRITE","4","0x13B4003C","ToDevice","34"
"134287964848572914","0x10","WRITE","4","0x13C60002","ToDevice","39"
"134287964848576071","0x10","WRITE","4","0x14260003","ToDevice","41"
"134287964848578771","0x10","WRITE","4","0x142C000A","ToDevice","40"
"134287964848581325","0x10","WRITE","4","0x16C60011","ToDevice","38"
"134287964848584124","0x10","WRITE","4","0x16CC0032","ToDevice","38"
"134287964848586735","0x10","WRITE","6","0x278201E001EA","ToDevice","40"
"134287964848589803","0x10","WRITE","6","0x278803C003B8","ToDevice","39"
"134287964848593114","0x10","WRITE","6","0x27A008C008C0","ToDevice","40"
"134287964848596427","0x10","WRITE","6","0x27F4003C003C","ToDevice","39"
"134287964848599530","0x10","WRITE","6","0x280600020002","ToDevice","44"
"134287964848602768","0x10","WRITE","6","0x286600030004","ToDevice","39"
"134287964848605872","0x10","WRITE","6","0x286C001A0016","ToDevice","39"
"134287964848609043","0x10","WRITE","4","0x2872001D","ToDevice","81"
"134287964848611669","0x10","WRITE","6","0x2A5202600197","ToDevice","42"
"134287964848615109","0x10","WRITE","6","0x2A58026B01A2","ToDevice","95"
"134287964848618520","0x10","WRITE","6","0x2A5E027601AD","ToDevice","41"
"134287964848622198","0x10","WRITE","6","0x2A64028101B8","ToDevice","39"
"134287964848625884","0x10","WRITE","6","0x2A6A028C01C3","ToDevice","72"
"134287964848629444","0x10","WRITE","6","0x2A70029701CE","ToDevice","45"
"134287964848633021","0x10","WRITE","6","0x2A7602A201D9","ToDevice","42"
"134287964848636665","0x10","WRITE","6","0x2A7C02AD01E4","ToDevice","39"
"134287964848640875","0x10","WRITE","6","0x2A8202B801EF","ToDevice","116"
"134287964848645705","0x10","WRITE","6","0x2A8802C30297","ToDevice","104"
"134287964848649195","0x10","WRITE","6","0x2A8E02CE02A2","ToDevice","47"
"134287964848653029","0x10","WRITE","6","0x2B060053001E","ToDevice","66"
"134287964848656532","0x10","WRITE","6","0x2B0C009B0047","ToDevice","46"
"134287964848660292","0x10","WRITE","4","0x2B12009B","ToDevice","39"
"134287964848663295","0x10","WRITE","4","0x3BC20100","ToDevice","39"
"134287964848666318","0x10","WRITE","8","0x3BD430050505070C","ToDevice","39"
"134287964848670307","0x10","WRITE","6","0x3BDE0D0F0701","ToDevice","39"
"134287964848673774","0x10","WRITE","4","0x3BFA19EC","ToDevice","39"
"134287964848677264","0x10","WRITE","6","0x3D2C8007000C","ToDevice","38"
"134287964848680871","0x10","WRITE","6","0x3D32013006C0","ToDevice","38"
"134287964848684387","0x10","WRITE","14","0x3DC206DE05A0076C0064076C06E0","ToDevice","39"
"134287964848689969","0x10","WRITE","4","0x3F6C0000","ToDevice","43"
"134287964848693735","0x10","WRITE","4","0x3F92049E","ToDevice","110"
"134287964848696946","0x10","WRITE","4","0x3FA40000","ToDevice","50"
"134287964848700023","0x10","WRITE","4","0x3FDC0000","ToDevice","38"
"134287964848702670","0x10","WRITE","6","0x520801000000","ToDevice","39"
"134287964848705973","0x10","WRITE","4","0x52140066","ToDevice","37"
"134287964848708378","0x10","WRITE","4","0x521E0000","ToDevice","37"
"134287964848711490","0x10","WRITE","4","0x52280066","ToDevice","39"
"134287964848714054","0x10","WRITE","4","0x52320066","ToDevice","36"
"134287964848716866","0x10","WRITE","4","0x523C0000","ToDevice","37"
"134287964848719470","0x10","WRITE","4","0x52460000","ToDevice","37"
"134287964848722039","0x10","WRITE","4","0x52500014","ToDevice","39"
"134287964848724589","0x10","WRITE","4","0x525A0033","ToDevice","36"
"134287964848727351","0x10","WRITE","4","0x52640000","ToDevice","37"
"134287964848731012","0x10","WRITE","4","0x526E0000","ToDevice","104"
"134287964848734277","0x10","WRITE","4","0x52780000","ToDevice","102"
"134287964848737077","0x10","WRITE","4","0x52820000","ToDevice","114"
"134287964848739921","0x10","WRITE","4","0x528C001E","ToDevice","68"
"134287964848742943","0x10","WRITE","4","0x52960033","ToDevice","114"
"134287964848745782","0x10","WRITE","4","0x52EA0100","ToDevice","84"
"134287964848748367","0x10","WRITE","32","0x52F61000100010001000100010001000100010001000100C10101014101C1028","ToDevice","77"
"134287964848758698","0x10","WRITE","4","0x53940003","ToDevice","110"
"134287964848761700","0x10","WRITE","4","0x53B20100","ToDevice","99"
"134287964848764494","0x10","WRITE","4","0x53BE0100","ToDevice","91"
"134287964848767797","0x10","WRITE","6","0xD90000010000","ToDevice","85"
"134287964848770907","0x10","WRITE","4","0xFCFC4000","ToDevice","64"
"134287964848773795","0x10","WRITE","4","0x01120A0A","ToDevice","105"
"134287964848776566","0x10","WRITE","6","0x01162B000000","ToDevice","74"
"134287964848779966","0x10","WRITE","4","0x021E0000","ToDevice","90"
"134287964848782749","0x10","WRITE","4","0x03800001","ToDevice","68"
"134287964848785441","0x10","WRITE","4","0x03840001","ToDevice","55"
"134287964848788060","0x10","WRITE","4","0x04021010","ToDevice","45"
"134287964848791089","0x10","WRITE","12","0x080E030708050A0818060B00","ToDevice","76"
"134287964848795824","0x10","WRITE","6","0x0B0601010001","ToDevice","47"
"134287964848798920","0x10","WRITE","4","0x0B840201","ToDevice","39"
"134287964848801697","0x10","WRITE","4","0xF45C00FF","ToDevice","37"
"134287964848804603","0x10","WRITE","8","0xF462001500160013","ToDevice","74"
"134287964848808806","0x10","WRITE","4","0xF46C0010","ToDevice","81"
"134287964848811505","0x10","WRITE","4","0xF48A0020","ToDevice","49"
"134287964848814397","0x10","WRITE","4","0xFCFC4000","ToDevice","70"
"134287964848817077","0x10","WRITE","4","0x60000005","ToDevice","41"
"134287964848819946","0x10","WRITE","4","0xFCFC2000","ToDevice","66"
"134287964848822657","0x10","WRITE","4","0x0D9C000A","ToDevice","45"
"134287964848825320","0x10","WRITE","4","0x0EE20060","ToDevice","39"
"134287964848827869","0x10","WRITE","6","0x13340A0103F1","ToDevice","40"
"134287964848830822","0x10","WRITE","4","0x28740017","ToDevice","38"
"134287964848833715","0x10","WRITE","4","0x2B14004E","ToDevice","78"
"134287964848836336","0x10","WRITE","4","0x3BC00300","ToDevice","40"
"134287964848839355","0x10","WRITE","4","0x3BE20102","ToDevice","66"
"134287964848842061","0x10","WRITE","10","0x3BE8000008804D040408","ToDevice","46"
"134287964848846299","0x10","WRITE","8","0x3BFC02FD22EF00A5","ToDevice","38"
"134287964848849804","0x10","WRITE","4","0x3C040637","ToDevice","36"
"134287964848852618","0x10","WRITE","4","0x3D2848AA","ToDevice","44"
"134287964848855341","0x10","WRITE","4","0x3D360101","ToDevice","71"
"134287964848858067","0x10","WRITE","4","0x42E00100","ToDevice","83"
"134287964848860624","0x10","WRITE","34","0x4C840000000000000000000000000000000000000000000000000000000000000000","ToDevice","44"
"134287964848870847","0x10","WRITE","34","0x4FC80000000000000000000000000000000000000000000000000000000000000000","ToDevice","41"
"134287964848881158","0x10","WRITE","6","0x5A4001000000","ToDevice","75"
"134287964848884258","0x10","WRITE","4","0xFCFC4000","ToDevice","46"
"134287964848886839","0x10","WRITE","4","0x01140301","ToDevice","37"
"134287964848889825","0x10","WRITE","4","0x01361333","ToDevice","70"
"134287964848892449","0x10","WRITE","4","0x013E0001","ToDevice","41"
"134287964848895009","0x10","WRITE","10","0x030000050001000200D2","ToDevice","37"
"134287964848899109","0x10","WRITE","10","0x030C0001000301400001","ToDevice","66"
"134287964848903689","0x10","WRITE","22","0x03400B1E24E0000000001F0F0AAF0F880AB000000000","ToDevice","44"
"134287964848911196","0x10","WRITE","4","0x03820001","ToDevice","89"
"134287964848914019","0x10","WRITE","4","0x03860001","ToDevice","74"
"134287964848916854","0x10","WRITE","4","0x04041000","ToDevice","50"
"134287964848919460","0x10","WRITE","4","0x09000011","ToDevice","37"
"134287964848922348","0x10","WRITE","6","0x0B0201030001","ToDevice","71"
"134287964848925708","0x10","WRITE","4","0x0B800100","ToDevice","71"
"134287964848928175","0x10","WRITE","10","0x0B880000000000000000","ToDevice","39"
"134287964848932398","0x10","WRITE","4","0x60000085","ToDevice","93"
"134287964848935163","0x10","WRITE","4","0x62147970","ToDevice","74"
"134287964848937962","0x10","WRITE","4","0x01100002","ToDevice","75"
"134287964848940589","0x10","WRITE","4","0x01163000","ToDevice","46"
"134287964848943223","0x10","WRITE","4","0x01000100","ToDevice","40"
"134287964848946065","0x10","WRITE","2","0x030E","ToDevice","37"
"134287964848948186","0x10","READ","2","0x0003","FromDevice","41"
"134287964848950455","0x10","WRITE","2","0x0310","ToDevice","36"
"134287964848952823","0x10","READ","2","0x0140","FromDevice","37"
"134287964848955013","0x10","WRITE","2","0x030A","ToDevice","36"
"134287964848957168","0x10","READ","2","0x0001","FromDevice","37"
"134287964848959471","0x10","WRITE","2","0x0312","ToDevice","38"
"134287964848961712","0x10","READ","2","0x0001","FromDevice","85"
"134287964848964014","0x10","WRITE","2","0x0308","ToDevice","54"
"134287964848966257","0x10","READ","2","0x0008","FromDevice","69"
"134287964848968396","0x10","WRITE","2","0x0340","ToDevice","47"
"134287964848970517","0x10","READ","2","0x0B1E","FromDevice","43"
"134287964848973638","0x10","WRITE","2","0x0340","ToDevice","43"
"134287964848975748","0x10","READ","2","0x0B1E","FromDevice","37"
"134287964848978103","0x10","WRITE","2","0x0342","ToDevice","92"
"134287964848980321","0x10","READ","2","0x24E0","FromDevice","43"
"134287964848982746","0x10","WRITE","2","0x0344","ToDevice","43"
"134287964848985018","0x10","READ","2","0x0000","FromDevice","72"
"134287964849007771","0x10","WRITE","2","0x0346","ToDevice","282"
"134287964849010885","0x10","READ","2","0x0000","FromDevice","120"
"134287964849013414","0x10","WRITE","2","0x0348","ToDevice","42"
"134287964849015747","0x10","READ","2","0x1F0F","FromDevice","100"
"134287964849018133","0x10","WRITE","2","0x034A","ToDevice","44"
"134287964849020460","0x10","READ","2","0x0AAF","FromDevice","37"
"134287964849022997","0x10","WRITE","2","0x034C","ToDevice","96"
"134287964849025094","0x10","READ","2","0x0F88","FromDevice","35"
"134287964849027430","0x10","WRITE","2","0x034E","ToDevice","37"
"134287964849029749","0x10","READ","2","0x0AB0","FromDevice","80"
"134287964849032109","0x10","WRITE","2","0x0900","ToDevice","65"
"134287964849034281","0x10","READ","1","0x00","FromDevice","45"
"134287964849036527","0x10","WRITE","2","0x0901","ToDevice","44"
"134287964849038692","0x10","READ","1","0x11","FromDevice","76"
"134287964849040756","0x10","WRITE","2","0x0304","ToDevice","43"
"134287964849043035","0x10","READ","2","0x0002","FromDevice","74"
"134287964849045313","0x10","WRITE","2","0x0306","ToDevice","66"
"134287964849047481","0x10","READ","2","0x00D2","FromDevice","47"
"134287964849049631","0x10","WRITE","2","0x0302","ToDevice","38"
"134287964849051839","0x10","READ","2","0x0001","FromDevice","64"
"134287964849054078","0x10","WRITE","2","0x030C","ToDevice","40"
"134287964849076140","0x10","READ","2","0x0001","FromDevice","178"
"134287964849078887","0x10","WRITE","2","0x0300","ToDevice","317"
"134287964849081219","0x10","READ","2","0x0005","FromDevice","117"
"134287964849111885","0x10","WRITE","3","0x010001","ToDevice","148"
"134287964849115012","0x4D","WRITE","1","0x28","ToDevice","495"
"134287964849117146","0x4D","READ","1","0x00","FromDevice","107"
"134287964849140635","0x4D","WRITE","2","0x2804","ToDevice","289"
"134287964849147745","0x10","WRITE","2","0x0340","ToDevice","169"
"134287964849150676","0x10","READ","2","0x0B1E","FromDevice","149"
"134287964849153751","0x10","WRITE","2","0x0342","ToDevice","100"
"134287964849156446","0x10","READ","2","0x24E0","FromDevice","98"
"134287964849159098","0x10","WRITE","2","0x0344","ToDevice","100"
"134287964849161726","0x10","READ","2","0x0000","FromDevice","98"
"134287964849164642","0x10","WRITE","2","0x0346","ToDevice","99"
"134287964849167382","0x10","READ","2","0x0000","FromDevice","127"
"134287964849170338","0x10","WRITE","2","0x0348","ToDevice","115"
"134287964849172993","0x10","READ","2","0x1F0F","FromDevice","105"
"134287964849175452","0x10","WRITE","2","0x034A","ToDevice","91"
"134287964849177679","0x10","READ","2","0x0AAF","FromDevice","68"
"134287964849199794","0x10","WRITE","2","0x034C","ToDevice","193"
"134287964849203036","0x10","READ","2","0x0F88","FromDevice","181"
"134287964849205755","0x10","WRITE","2","0x034E","ToDevice","107"
"134287964849208010","0x10","READ","2","0x0AB0","FromDevice","74"
"134287964849210275","0x10","WRITE","2","0x0900","ToDevice","62"
"134287964849212694","0x10","READ","1","0x00","FromDevice","76"
"134287964849214790","0x10","WRITE","2","0x0901","ToDevice","62"
"134287964849216999","0x10","READ","1","0x11","FromDevice","59"
"134287964849219201","0x10","WRITE","2","0x0304","ToDevice","64"
"134287964849221711","0x10","READ","2","0x0002","FromDevice","130"
"134287964849224255","0x10","WRITE","2","0x0306","ToDevice","94"
"134287964849226504","0x10","READ","2","0x00D2","FromDevice","59"
"134287964849228725","0x10","WRITE","2","0x0302","ToDevice","101"
"134287964849230938","0x10","READ","2","0x0001","FromDevice","82"
"134287964849233375","0x10","WRITE","2","0x030C","ToDevice","108"
"134287964849235672","0x10","READ","2","0x0001","FromDevice","104"
"134287964849257962","0x10","WRITE","2","0x0300","ToDevice","284"
"134287964849261070","0x10","READ","2","0x0005","FromDevice","131"
"134287964849267514","0x10","WRITE","3","0x010401","ToDevice","93"
"134287964849269963","0x10","WRITE","4","0x03400B2F","ToDevice","67"
"134287964849272676","0x10","WRITE","4","0x02020056","ToDevice","64"
"134287964849275392","0x10","WRITE","4","0x02000000","ToDevice","60"
"134287964849278264","0x10","WRITE","4","0x02040020","ToDevice","108"
"134287964849281400","0x10","WRITE","4","0x020E0100","ToDevice","76"
"134287964849284142","0x10","WRITE","3","0x010400","ToDevice","64"
"134287964851178694","0x72","WRITE","3","0x840186","ToDevice","233"
"134287964851358885","0x10","WRITE","3","0x010401","ToDevice","292"
"134287964851362031","0x10","WRITE","4","0x03400B2F","ToDevice","138"
"134287964851365972","0x10","WRITE","4","0x0202017F","ToDevice","128"
"134287964851369620","0x10","WRITE","4","0x02000000","ToDevice","107"
"134287964851373708","0x10","WRITE","4","0x02040020","ToDevice","110"
"134287964851377499","0x10","WRITE","4","0x020E0100","ToDevice","127"
"134287964851381479","0x10","WRITE","3","0x010400","ToDevice","105"
"134287964851693198","0x10","WRITE","3","0x010401","ToDevice","280"
"134287964851696348","0x10","WRITE","4","0x03400B2F","ToDevice","99"
"134287964851699035","0x10","WRITE","4","0x020202A7","ToDevice","43"
"134287964851702447","0x10","WRITE","4","0x02000000","ToDevice","104"
"134287964851706388","0x10","WRITE","4","0x02040020","ToDevice","78"
"134287964851709384","0x10","WRITE","4","0x020E0100","ToDevice","113"
"134287964851712448","0x10","WRITE","3","0x010400","ToDevice","88"
"134287964852029348","0x10","WRITE","3","0x010401","ToDevice","204"
"134287964852032702","0x10","WRITE","4","0x03400B2F","ToDevice","99"
"134287964852036668","0x10","WRITE","4","0x020203D0","ToDevice","104"
"134287964852039908","0x10","WRITE","4","0x02000000","ToDevice","85"
"134287964852042995","0x10","WRITE","4","0x02040020","ToDevice","84"
"134287964852046066","0x10","WRITE","4","0x020E0100","ToDevice","84"
"134287964852049003","0x10","WRITE","3","0x010400","ToDevice","84"
"134287964853370696","0x10","WRITE","3","0x010401","ToDevice","215"
"134287964853374662","0x10","WRITE","4","0x03400B2F","ToDevice","118"
"134287964853378193","0x10","WRITE","4","0x020208B9","ToDevice","88"
"134287964853381168","0x10","WRITE","4","0x02000000","ToDevice","85"
"134287964853385351","0x10","WRITE","4","0x02040020","ToDevice","34"
"134287964853388718","0x10","WRITE","4","0x020E0100","ToDevice","94"
"134287964853391678","0x10","WRITE","3","0x010400","ToDevice","28"
"134287964853705028","0x10","WRITE","3","0x010401","ToDevice","206"
"134287964853708076","0x10","WRITE","4","0x03400B7C","ToDevice","103"
"134287964853711840","0x10","WRITE","4","0x02020B7A","ToDevice","91"
"134287964853714972","0x10","WRITE","4","0x02000000","ToDevice","80"
"134287964853718888","0x10","WRITE","4","0x02040026","ToDevice","82"
"134287964853722917","0x10","WRITE","4","0x020E0100","ToDevice","74"
"134287964853726630","0x10","WRITE","3","0x010400","ToDevice","81"
"134287964854042407","0x10","WRITE","3","0x010401","ToDevice","204"
"134287964854047210","0x10","WRITE","4","0x03400B33","ToDevice","80"
"134287964854051061","0x10","WRITE","4","0x02020B31","ToDevice","78"
"134287964854054652","0x10","WRITE","4","0x02000000","ToDevice","76"
"134287964854058612","0x10","WRITE","4","0x02040035","ToDevice","70"
"134287964854063796","0x10","WRITE","4","0x020E0100","ToDevice","70"
"134287964854067862","0x10","WRITE","3","0x010400","ToDevice","61"
"134287964854385176","0x10","WRITE","3","0x010401","ToDevice","191"
"134287964854388548","0x10","WRITE","4","0x03400B51","ToDevice","99"
"134287964854392308","0x10","WRITE","4","0x02020B4F","ToDevice","81"
"134287964854395885","0x10","WRITE","4","0x02000000","ToDevice","78"
"134287964854400765","0x10","WRITE","4","0x0204003C","ToDevice","70"
"134287964854405923","0x10","WRITE","4","0x020E0100","ToDevice","71"
"134287964854409308","0x10","WRITE","3","0x010400","ToDevice","71"
"134287964854720853","0x10","WRITE","3","0x010401","ToDevice","192"
"134287964854723975","0x10","WRITE","4","0x03400B3E","ToDevice","106"
"134287964854728372","0x10","WRITE","4","0x02020B3C","ToDevice","78"
"134287964854731555","0x10","WRITE","4","0x02000000","ToDevice","74"
"134287964854735398","0x10","WRITE","4","0x02040044","ToDevice","72"
"134287964854739532","0x10","WRITE","4","0x020E0100","ToDevice","78"
"134287964854743317","0x10","WRITE","3","0x010400","ToDevice","77"
"134287964855060116","0x10","WRITE","3","0x010401","ToDevice","220"
"134287964855063184","0x10","WRITE","4","0x03400B56","ToDevice","144"
"134287964855067348","0x10","WRITE","4","0x02020B54","ToDevice","156"
"134287964855071046","0x10","WRITE","4","0x02000000","ToDevice","128"
"134287964855075848","0x10","WRITE","4","0x0204004B","ToDevice","84"
"134287964855079110","0x10","WRITE","4","0x020E0100","ToDevice","81"
"134287964855083079","0x10","WRITE","3","0x010400","ToDevice","70"
"134287964855397612","0x10","WRITE","3","0x010401","ToDevice","328"
"134287964855401614","0x10","WRITE","4","0x03400B3C","ToDevice","128"
"134287964855406329","0x10","WRITE","4","0x02020B3A","ToDevice","207"
"134287964855411096","0x10","WRITE","4","0x02000000","ToDevice","172"
"134287964855415153","0x10","WRITE","4","0x0204005D","ToDevice","112"
"134287964855418652","0x10","WRITE","4","0x020E0100","ToDevice","144"
"134287964855423036","0x10","WRITE","3","0x010400","ToDevice","149"
"134287964855735914","0x10","WRITE","3","0x010401","ToDevice","199"
"134287964855739767","0x10","WRITE","4","0x03400B45","ToDevice","90"
"134287964855743529","0x10","WRITE","4","0x02020B43","ToDevice","158"
"134287964855747594","0x10","WRITE","4","0x02000000","ToDevice","72"
"134287964855752652","0x10","WRITE","4","0x0204006E","ToDevice","72"
